Tabel 1
SAMPLE,IPUMS sample identifier,SUBSAMP,,Subsample number,HHTYPE,,Household Type,REGION,,Census region and division,STATEFIP,,State (FIPS code),METRO,,Metropolitan status,CITY,,City,CITYERR,,Coverage error in CITY variable,HOMELAND,,"American Indian, Alaska Native, or Native Hawaiian homeland area",CNTRY,,Country,GQ,,Group quarters status,GQTYPE,,Group quarters type [general version],GQTYPED,,Group quarters type [detailed version],FARM,,Farm status,OWNERSHP,,Ownership of dwelling (tenure) [general version],OWNERSHPD,,Ownership of dwelling (tenure) [detailed version],MORTGAGE,,Mortgage status,MORTGAG2,,Second mortgage status,ACREHOUS,,House acreage,TAXINCL,,Mortgage payment includes property taxes,INSINCL,,Mortgage payment includes property insurance,PROPTX99,,"Annual property taxes, 1990",RENTMEAL,,Meals included in rent,UNITSSTR,,Units in structure,BEDROOMS,,Number of bedrooms,NFAMS,,Number of families in household,NSUBFAM,,Number of subfamilies in household,NCOUPLES,,Number of couples in household,NMOTHERS,,Number of mothers in household,NFATHERS,,Number of fathers in household,MULTGEN,,Multigenerational household [general version],MULTGEND,,Multigenerational household [detailed version],CBNSUBFAM,,Number of subfamilies in household (original Census Bureau classification),FAMUNIT,,Family unit membership,SFTYPE,,Subfamily type,SFRELATE,,Relationship within subfamily,CBSUBFAM,,Subfamily number (original Census Bureau classification),CBSFTYPE,,Subfamily type (original Census Bureau classification),CBSFRELATE,,Subfamily relationship (original Census Bureau classification),MOMRULE,,Rule for linking mother (new),POPRULE,,Rule for linking father (new),SPRULE,,Rule for linking spouse or partner (new),MOM2RULE,,Rule for linking second mother (new),POP2RULE,,Rule for linking second father (new),NCHILD,,Number of own children in the household,NCHLT5,,Number of own children under age 5 in household,NSIBS,,Number of own siblings in household,ELDCH,,Age of eldest own child in household,YNGCH,,Age of youngest own child in household,RELATE,,Relationship to household head [general version],RELATED,,Relationship to household head [detailed version],SEX,Sex,AGE,Age,MARST,Marital status,MARRNO,Times married,MARRINYR,Married within the past year,DIVINYR,Divorced in the past year,WIDINYR,Widowed in the past year,FERTYR,Children born within the last year,RACE,Race [general version],RACED,Race [detailed version],HISPAN,Hispanic origin [general version],HISPAND,Hispanic origin [detailed version],BPL,Birthplace [general version],BPLD,Birthplace [detailed version],ANCESTR1,"Ancestry, first response [general version]",ANCESTR2,"Ancestry, second response [general version]",ANCESTR2D,"Ancestry, second response [detailed version]",CITIZEN,Citizenship status,YRSUSA2,"Years in the United States, intervalled",LANGUAGE,Language spoken [general version],LANGUAGED,Language spoken [detailed version],SPEAKENG,Speaks English,TRIBE,Tribe [general version],TRIBED,Tribe [detailed version],EDUC,Educational attainment [general version],EDUCD,Educational attainment [detailed version],GRADEATT,Grade level attending [general version],GRADEATTD,Grade level attending [detailed version],SCHLTYPE,Public or private school,DEGFIELD,Field of degree [general version],DEGFIELDD,Field of degree [detailed version],EMPSTAT,Employment status [general version],EMPSTATD,Employment status [detailed version],LABFORCE,Labor force status,CLASSWKR,Class of worker [general version],CLASSWKRD,Class of worker [detailed version],OCC1950,"Occupation, 1950 basis",OCC1990,"Occupation, 1990 basis",IND1950,"Industry, 1950 basis",WRKLSTWK,Worked last week,ABSENT,Absent from work last week,LOOKING,Looking for work,AVAILBLE,Available for work,WRKRECAL,Informed of work recall,WORKEDYR,Worked last year,MIGRATE1,"Migration status, 1 year [general version]",MIGRATE1D,"Migration status, 1 year [detailed version]",MIGPLAC1,State or country of residence 1 year ago,MIGMET131,Metropolitan area of residence 1 year ago (2013 delineations),MIGTYPE1,Metropolitan status 1 year ago,PWSTATE2,Place of work: state,PWMET13,Place of work: metropolitan area (2013 delineations),PWTYPE,Place of work: metropolitan status,TRANWORK,Means of transportation to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2310,,"Fort Smith, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50030,Mongolia,,Chinese:,704,Khmer,4420,Kurdish,,,,,,,7703,"Coast Miwok, Bodega, Marin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659,Other precision woodworkers,631,Furniture and home furnishings stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2311,,"Fort Thomas, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50040,Taiwan,706,Chinese,,Chinese:,4440,Kuria Muria Islander,,,,,,,7704,Plains Miwok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Precision Textile, Apparel, and Furnishings Machine Workers:",632,Household appliance stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2330,,"Fort Wayne, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50100,Japan,707,Cantonese,706,Chinese,4650,Palestinian,,,,,,,7705,"Sierra Miwok, Miwok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,Dressmakers and seamstresses,633,"Radio, TV, and computer stores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2350,,"Fort Worth, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50200,Korea,708,Manchurian,707,Cantonese,4660,Gazan,,,,,,,7706,"Nomlaki, Tehama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,Tailors,640,Music stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2351,,"Fostoria, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50210,North Korea,709,Mandarin,708,Manchurian,4670,West Bank,,,,,,,7707,"Patwin, Colouse, Suisun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,Upholsterers,641,Eating and drinking places,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2352,,"Framingham, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50220,South Korea,712,Mongolian,709,Mandarin,4700,South Yemeni,,,,,,,7708,Wintun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,Shoe repairers,642,Drug stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2353,,"Frankfort, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50900,"East Asia, ns",714,Tibetan,712,Mongolian,4710,Aden,,,,,,,7709,Foothill North Yokuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,Other precision apparel and fabric workers,650,Liquor stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2354,,"Frankfort, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southeast Asia:,716,Hong Kong,714,Tibetan,4800,United Arab Emirates,,,,,,,7710,Tachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Precision Workers, Assorted Materials:",651,"Sporting goods, bicycles, and hobby stores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2355,,"Franklin, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51000,Brunei,718,Macao,716,Hong Kong,4820,Assyrian/Chaldean/Syriac (1990-2000),,,,,,,7711,"Santiam, Calapooya, Wapatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,"Hand molders and shapers, except jewelers",652,Book and stationery stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2356,,"Frederick, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51100,Cambodia (Kampuchea),720,Filipino,718,Macao,4821,Assyrian,,,,,,,7712,"Siuslaw, Coos, Lower Umpqua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677,Optical goods workers,660,Jewelry stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2357,,"Freeport, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51200,Indonesia,730,Indonesian,720,Filipino,4822,"Syriac (1980, 2000)",,,,,,,7713,Tsimshian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,Dental laboratory and medical appliance technicians,661,"Gift, novelty, and souvenir shops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2358,,"Freeport, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51210,East Indies,,Japanese:,730,Indonesian,4823,"Chaldean (2000, ACS, PRCS)",,,,,,,7714,"Upper Chinook, Clackamas, Multnomah, Wasco, Wishram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,Bookbinders,662,"Sewing, needlework, and piece goods stores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2359,,"Fremont, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51220,East Timor,740,Japanese,,Japanese:,4900,Middle Eastern,,,,,,,7715,Chinook Jargon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,Other precision and craft workers,663,Catalog and mail order houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2360,,"Fremont, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51300,Laos,746,Ryukyu Islander,740,Japanese,4950,Arab,,,,,,,7800,Zuni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precision Food Production Occupations:,670,Vending machine operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2370,,"Fresno, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51400,Malaysia,748,Okinawan,746,Ryukyu Islander,4951,"Arabic (1990-2000, ACS, PRCS)",,,,,,,,Hokan languages:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,Butchers and meat cutters,671,Direct selling establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2390,,"Fullerton, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51500,Philippines,750,Korean,748,Okinawan,4960,Other Arab,,,,,,,7900,Yuman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,Bakers,672,Fuel dealers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2391,,"Fulton, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51600,Singapore,765,Laotian,750,Korean,,SUBSAHARAN AFRICA,,,,,,,7910,Upriver Yuman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,Batch food makers,681,Retail florists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2392,,"Gadsden, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51700,Thailand,766,Meo,765,Laotian,5000,Angolan,,,,,,,7920,Cocomaricopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Precision Inspectors, Testers, and Related Workers:",682,Miscellaneous retail stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2393,,"Galena, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51800,Vietnam,768,Hmong,766,Meo,5020,Benin,,,,,,,7930,Mohave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,Adjusters and calibrators,691,"Retail trade, n.s.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2394,,"Gainesville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51900,"Southeast Asia, ns",770,Malaysian,768,Hmong,5040,Botswana,,,,,,,7940,Diegueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plant and System Operators:,,"FINANCE, INSURANCE, AND REAL ESTATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2400,,"Galesburg, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51910,"Indochina, ns",774,Singaporean,770,Malaysian,5060,Burundian,,,,,,,7950,Delta River Yuman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,Water and sewage treatment plant operators,700,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2410,,"Galveston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India/Southwest Asia:,776,Thai,774,Singaporean,5080,Cameroonian,,,,,,,7960,Upland Yuman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,Power plant operators,701,"Savings institutions, including credit unions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2411,,"Gardner, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000,Afghanistan,777,Black Thai,776,Thai,5100,Cape Verdean,,,,,,,7970,Havasupai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,"Plant and system operators, stationary engineers",702,"Credit agencies, n.e.c.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2430,,"Garden Grove, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52100,India,778,Western Lao,777,Black Thai,5120,Central African Republic,,,,,,,7980,Walapai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,Other plant and system operators,710,"Security, commodity brokerage, and investment companies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2435,,"Gardena, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52110,Bangladesh,782,Taiwanese,778,Western Lao,5130,Chadian,,,,,,,7990,Yavapai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OPERATORS, FABRICATORS, AND LABORERS",711,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2440,,"Garfield, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52120,Bhutan,785,Vietnamese,782,Taiwanese,5150,Congolese,,,,,,,8000,Achumawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Machine Operators, Assemblers, and Inspectors",712,"Real estate, including real estate-insurance offices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2441,,"Garfield Heights, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52130,Burma (Myanmar),786,Katu,785,Vietnamese,5160,Congo-Brazzaville,,,,,,,8010,Atsugewi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Machine Operators and Tenders, Except Precision",,BUSINESS AND REPAIR SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2450,,"Garland, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52140,Pakistan,787,Ma,786,Katu,5190,Djibouti,,,,,,,8020,Karok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal Working and Plastic Working Machine Operators:,721,Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2470,,"Gary, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52150,Sri Lanka (Ceylon),788,Mnong,787,Ma,5200,Equatorial Guinea,,,,,,,8030,Pomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,"Lathe, milling, and turning machine operatives",722,Services to dwellings and other buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
